eleName,eleSymbol,monoMass,natAbund
Aluminum,Al,26.981541,100
Antimony,Sb,120.903824 122.904222,57.3 42.7
Argon,Ar,35.967546 37.962732 39.962383,0.34 0.063 99.6
Arsenic,As,74.921596,100
Barium,Ba,129.906277 131.905042 133.90449 134.905668 135.904556 136.905816 137.905236,0.11 0.1 2.42 6.59 7.85 11.23 71.7
Beryllium,Be,9.012183,100
Bismuth,Bi,208.980388,100
Boron,B,10.012938 11.009305,19.8 80.2
Bromine,Br,78.918336 80.91629,50.69 49.31
Calcium,Ca,105.906461 107.904186 109.903007 110.904182 111.902761 112.904401 113.903361 115.904758,1.25 0.89 12.49 12.8 24.13 12.22 28.73 7.49
Cadmium,Cd,39.962591 41.958622 42.95877 43.955485 45.953689 47.952532,96.95 0.65 0.14 2.086 0.004 0.19
Carbon,C,12 13.003355,98.9 1.1
Cerium,Ce,135.90714 137.905996 139.905442 141.909249,0.19 0.25 88.48 11.08
Cesium,Cs,132.905433,100
Chlorine,Cl,34.968853 36.965903,75.77 24.23
Chromium,Cr,49.946046 51.94051 52.940651 53.938882,4.35 83.79 9.5 2.36
Cobalt,Co,58.933198,100
Copper,Cu,62.929599,69.17
Dysprosium,Dy,64.927792 155.924287 157.924412 159.925203 160.926939 161.926805 162.928737 163.929183,30.83 0.06 0.1 2.34 18.9 25.5 24.9 28.2
Erbium,Er,161.928787 163.929211 165.930305 166.932061 167.932383 169.935476,0.14 1.61 33.6 22.95 26.8 14.9
Europium,Eu,150.91986 152.921243,47.8 52.2
Fluorine,F,18.998403,100
Gallium,Ga,151.919803 153.920876 154.822629 155.92213 156.923967 157.924111 159.927061,0.2 2.18 14.8 20.47 15.65 24.84 21.86
Gadolinium,Gd,68.925581 70.924701,60.1 39.9
Germanium,Ge,69.92425 71.92208 72.923464 73.921179 75.921403,20.5 27.4 7.8 36.5 7.8
Gold,Au,196.96656,100
Hafnium,Hf,173.940065 175.94142 176.943233 177.94371 178.945827 179.946561,0.16 5.2 18.6 27.1 13.74 35.2
Helium,He,3.016029 4.002603,1e-04 100
Holmium,Ho,164.930332,100
Hydrogen,H,1.007825 2.014102,99.99 0.015
Indium,In,112.904056 114.903875,4.3 95.7
Iodine,I,126.904477,100
Iridium,Ir,190.960603 192.962942,37.3 62.7
Iron,Fe,53.939612 55.934939 56.935396 57.933278,5.8 91.72 2.2 0.28
Krypton,Kr,77.920397 79.916375 81.913483 82.914134 83.911506 85.910614,0.35 2.25 11.6 11.5 57 17.3
Lanthanum,La,137.907114 138.906355,0.09 99.91
Lead,Pb,203.973037 205.974455 206.975885 207.976641,1.4 24.1 22.1 52.4
Lithium,Li,6.015123 7.016005,7.42 92.58
Lutetium,Lu,174.940785 175.942694,97.4 2.6
Magnesium,Mg,23.985045 24.985839 25.982595,78.9 10 11.1
Manganese,Mn,54.938046,100
Mercury,Hg,195.965812 197.96676 198.968269 199.968316 200.970293 201.970632 203.973481,0.15 10.1 17 23.1 13.2 29.65 6.8
Molybdenum,Mo,91.906809 93.905086 94.905838 95.904676 96.906018 97.905405 99.907473,14.84 9.25 15.92 16.68 9.55 24.13 9.63
Neodymium,Nd,141.907731 142.909823 143.910096 144.912582 145.913126 147.916901 149.9209,27.13 12.18 23.8 8.3 17.19 5.76 5.64
Neon,Ne,19.992439 20.993845 21.991384,90.6 0.26 9.2
Nickel,Ni,57.935347 59.930789 60.931059 61.928346 63.927968,68.27 26.1 1.13 3.59 0.91
Niobium,Nb,92.906378,100
Nitrogen,N,14.003074 15.000109,99.63 0.37
Osmium,Os,183.952514 185.953852 186.955762 187.95585 188.958156 189.958455 191.961487,0.02 1.58 1.6 13.3 16.1 26.4 41
Oxygen,O,15.994915 16.999131 17.999159,99.76 0.038 0.2
Palladium,Pd,101.905609 103.904026 104.905075 105.903475 107.903894 109.905169,1.02 11.14 22.33 27.33 26.46 11.72
Phosphorus,P,30.973763,100
Platinum,Pt,189.959937 191.961049 193.962679 194.964785 195.964947 197.967879,0.01 0.79 32.9 33.8 25.3 7.2
Potassium,K,38.963708 39.963999 40.961825,93.2 0.012 6.73
Praseodymium,Pr,140.907657,100
Rhenium,Re,184.952977 186.955765,37.4 62.6
Rhodium,Rh,102.905503,100
Rubidium,Rb,84.9118 86.909184,72.17 27.84
Ruthenium,Ru,95.907596 97.905287 98.905937 99.904218 100.905581 101.904348 103.905422,5.52 1.88 12.7 12.6 17 31.6 18.7
Samarium,Sm,143.912009 146.914907 147.914832 148.917193 149.917285 151.919741 153.922218,3.1 15 11.3 13.8 7.4 26.7 22.7
Scandium,Sc,44.955914,100
Selenium,Se,73.922477 75.919207 76.919908 77.917304 79.916521 81.916709,0.9 9 7.6 23.5 49.6 9.4
Silicon,Si,27.976928 28.976496 29.973772,92.23 4.67 3.1
Silver,Ag,106.905095 108.904754,51.84 48.16
Sodium,Na,22.98977,100
Strontium,Sr,83.913428 85.909273 86.908902 87.905625,0.56 9.86 7 82.58
Sulfur,S,31.972072 32.971459 33.967868 35.967079,95.02 0.75 4.21 0.02
Tantalum,Ta,179.947489 180.948014,0.012 99.99
Tellurium,Te,119.904021 121.903055 122.904278 123.902825 124.904435 125.90331 127.904464 129.906229,0.096 2.6 0.91 4.82 7.14 18.95 31.69 33.8
Terbium,Tb,158.92535,100
Thallium,Tl,202.972336 204.97441,29.52 70.48
Thorium,Th,232.038054,100
Thulium,Tm,168.934225,100
Tin,Sn,111.904826 113.902784 114.903348 115.901744 116.902954 117.901607 118.90331 119.902199 121.90344 123.905271,0.97 0.65 0.36 14.7 7.7 24.3 8.6 32.4 4.6 5.6
Titanium,Ti,45.952633 46.951765 47.947947 48.947871 49.944786,8 7.3 73.8 5.5 5.4
Tungsten,W,179.946727 181.948225 182.950245 183.950953 185.954377,0.13 26.3 14.3 30.67 28.6
Uranium,U,234.040947 235.043925 238.050786,0.006 0.72 99.27
Vanadium,V,49.947161 50.943963,0.25 99.75
Xenon,Xe,123.905894 125.904281 127.903531 128.90478 129.90351 130.905076 131.904148 133.905395 135.907219,0.1 0.09 1.91 26.4 4.1 21.2 26.9 10.4 8.9
Ytterbium,Yb,167.933908 169.934774 170.936338 171.936393 172.938222 173.938873 175.942576,0.13 3.05 14.3 21.9 16.12 31.8 12.7
Yttrium,Y,88.905856,100
Zinc,Zn,63.929145 65.926035 66.927129 67.924846 69.925325,48.6 27.9 4.1 18.8 0.6
Zirconium,Zr,89.904708 90.905644 91.905039 93.906319 95.908272,51.45 11.27 17.17 17.33 2.78
